nome,tam,temp,comp
heap,134217728,40.181475,3565036096
heap,111848106,33.423715,2970869845
heap,93206755,27.856434,2475720386
heap,77672295,23.210158,2063101601
heap,64726912,18.950682,1654526718
heap,53939093,15.777998,1378770201
heap,44949244,13.133472,1148977728
heap,37457703,10.936639,957479281
heap,31214752,8.929377,766687893
heap,26012293,7.438330,638904760
heap,21676910,6.163538,532420565
heap,18064091,5.155833,443680879
heap,15053409,4.195637,354680305
heap,12544507,3.493939,295568724
heap,10453755,2.898358,246306470
heap,8711462,2.418985,205255704
heap,7259551,1.975883,163785929
heap,6049625,1.639187,136489905
heap,5041354,1.356055,113738627
heap,4201128,1.131617,94783536
heap,3500940,0.919999,75484571
heap,2917450,0.762026,62904367
heap,2431208,0.632531,52421269
heap,2026006,0.517594,41658384
heap,1688338,0.428772,34715239
heap,1406948,0.352978,28928974
heap,1172456,0.294664,24107748
heap,977046,0.234543,19112975
heap,814205,0.196726,15927194
heap,678504,0.164023,13272632
heap,565420,0.135959,11060236
heap,471183,0.110949,8745538
heap,392652,0.091573,7288004
heap,327210,0.076350,6073361
heap,272675,0.063390,5061089
heap,227229,0.051260,3990165
heap,189357,0.041663,3325135
heap,157797,0.034855,2770869
heap,131497,0.028882,2309120
heap,109580,0.023633,1814668
heap,91316,0.019255,1512124
heap,76096,0.015973,1260185
heap,63413,0.013029,986755
heap,52844,0.010741,822231
heap,44036,0.008884,685142
heap,36696,0.007380,570901
heap,30580,0.005978,445160
heap,25483,0.004971,370933
heap,21235,0.004225,309116
heap,17695,0.003510,257591
heap,14745,0.002834,199911
heap,12287,0.002356,166606
heap,10239,0.001941,138850
heap,8532,0.001619,115661
heap,7110,0.001297,89277
heap,5925,0.001095,74380
heap,4937,0.000889,61972
heap,4114,0.000746,51631
heap,3428,0.000595,39598
heap,2856,0.000492,32995
heap,2380,0.000406,27484
heap,1983,0.000330,20950
heap,1652,0.000287,17437
heap,1376,0.000222,14502
heap,1146,0.000182,12095
heap,955,0.000147,9125
heap,795,0.000119,7568
heap,662,0.000095,6297
heap,551,0.000076,5246
heap,459,0.000061,3907
heap,382,0.000050,3277
heap,318,0.000039,2731
heap,265,0.000033,2252
heap,220,0.000026,1640
heap,183,0.000021,1379
heap,152,0.000017,1126
heap,126,0.000013,834
heap,105,0.000010,670
heap,87,0.000009,542
heap,72,0.000007,453
heap,60,0.000006,334
heap,50,0.000004,265
heap,41,0.000003,205
heap,34,0.000002,160
heap,28,0.000002,125
heap,23,0.000001,95
heap,19,0.000001,72
heap,15,0.000000,51
heap,12,0.000000,36
heap,10,0.000000,27
heap,8,0.000001,19
heap,6,0.000000,13
heap,5,0.000000,10
heap,4,0.000001,7
heap,3,0.000000,4
heap,2,0.000000,2
heap,1,0.000000,1
